collection_name,slug,description,media_url,cultural_story,season,launch_date,status,source,crawl_at,error
Thanh Xuân,thanh-xuan,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00657-1.jpg,"Mùa hè thường đến sau những cơn mưa cuối xuân. Khi mặt đất còn vương hơi ẩm nhưng nắng đã bắt đầu gay gắt hơn, cây cối trong vườn cũng xanh hơn và những chùm quả đầu mùa dần chín dưới ánh mặt trời. Không khí mang theo hương thơm của lá, của hoa và của những khu vườn ngập nắng. Trên những tán cây cao, tiếng ve bắt đầu ngân lên từ sáng sớm và kéo dài cho đến tận chiều muộn, như một lời báo hiệu rằng mùa hè đã thực sự trở về. Có lẽ ai cũng từng lưu giữ cho mình một vài ký ức như thế về mùa hè. Là ánh nắng giữa trưa đi qua khung cửa rồi đổ dài trên nền nhà. Là khoảng sân vắng lặng chỉ còn tiếng lá cây xào xạc trong gió. Là những buổi chiều chậm rãi khi mọi thứ dường như lắng lại dưới sắc vàng của nắng tháng sáu. Những hình ảnh rất đỗi quen thuộc ấy luôn mang đến cảm giác bình yên và khiến người ta nhớ mãi mỗi khi mùa hè đi qua. Thanh Xuân Collection được XÉO XỌ thực hiện từ những cảm xúc giản dị ấy. Bộ sưu tập gồm những chiếc đầm và trang phục dành cho ngày hè với form dáng nhẹ nhàng, thoải mái cùng những gam màu trong trẻo, dễ mặc và dễ đồng hành cùng các chị trong nhiều khoảnh khắc thường nhật. Dù là một buổi dạo phố cuối tuần, một chuyến đi ngắn ngày hay đơn giản là một ngày chị muốn tận hưởng khoảng thời gian của riêng mình, Thanh Xuân vẫn là lời gợi nhắc về những ngày hè đẹp đẽ, nơi ánh nắng, tiếng ve và những điều bình thường nhất đều trở thành những ký ức đáng nhớ. Cùng ghé tiệm 2 miền chúng em chơi và ướm thử những thiết kế mới nhất trong mùa hè này chị nhé!",,,ACTIVE,collection_page,2026-06-27 14:38:24,
La Khê,la-khe,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/7_image-4.jpg,"Có những vẻ đẹp không cần quá nhiều chi tiết để trở nên nổi bật. La Khê Collection được xây dựng từ những phom dáng quen thuộc của XÉO XỌ, nơi sự mềm mại của tà áo dài và những thiết kế yếm được đặt cạnh ngôn ngữ thời trang đương đại. Không cố gắng tạo nên sự cầu kỳ, bộ sưu tập tập trung vào cảm giác mà chất liệu mang lại, vào cách ánh sáng lướt qua từng bề mặt vải và cách người phụ nữ trở nên cuốn hút khi được là chính mình. Lựa chọn chất liệu lụa dệt hoạ tiết với bề mặt giàu chiều sâu kết hợp lớp trong lụa organza siêu nhẹ, La Khê mang đến hiệu ứng thị giác tinh tế khi chuyển động. Những hoạ tiết được dệt trực tiếp trên nền vải hiện lên nhẹ nhàng dưới ánh sáng, tạo nên vẻ đẹp sang trọng nhưng không phô trương. Trên nền chất liệu ấy là những gam màu và sắc độ khác nhau dịu dàng được XÉO XỌ lựa chọn để tôn lên nét nữ tính một cách hiện đại. Trong La Khê, áo dài không chỉ dành cho những dịp đặc biệt và những thiết kế yếm cũng không chỉ mang tinh thần hoài niệm. Mỗi thiết kế được thực hiện với mong muốn mở rộng cách người phụ nữ cảm nhận về vẻ đẹp của mình: tự do hơn, linh hoạt hơn và đầy cảm hứng hơn trong cuộc sống thường ngày. La Khê Collection là lời gợi nhắc về một vẻ đẹp mềm mại nhưng không mong manh, dịu dàng nhưng vẫn đủ để tạo nên dấu ấn riêng.",,,ACTIVE,collection_page,2026-06-27 14:38:25,
Dao Ngọc Các,dao-ngoc-cac,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/2-scaled.jpg,"Trong muôn vàn cảm xúc mà con người có thể trải qua trong cuộc đời, tình yêu có lẽ là điều khiến ta nhớ lâu nhất. Tình yêu hiện diện trong những ánh nhìn, những lần nắm tay, trong niềm vui khi có người để sẻ chia và cả những ngày bình thường bỗng trở nên ý nghĩa hơn vì có một người cùng đồng hành. Đó là khi hai con người xa lạ dần tìm thấy sự đồng điệu trong tâm hồn, để rồi từ lúc nào không hay, hình dung về tương lai đã luôn có sự hiện diện của đối phương. Và ngày cưới có lẽ là một trong những dịp đặc biệt nhất để lưu giữ điều đó. Bởi khi đã cùng nhau đi qua nhiều kỷ niệm, ai cũng mong muốn chuẩn bị mọi thứ thật chỉn chu cho ngày mình chính thức sánh bước bên nhau. Từ không gian, những lời hẹn ước cho đến bộ trang phục sẽ cùng mình hiện diện trong những khoảnh khắc đáng nhớ nhất. Từ những cảm xúc ấy, XÉO XỌ và ĐINH giới thiệu bộ sưu tập cưới Dao Ngọc Các. Là sự kết hợp giữa những giá trị truyền thống và tinh thần đương đại, Dao Ngọc Các mang đến các thiết kế áo dài cưới được thực hiện từ tơ tằm, lụa và những đường thêu thủ công cùng các chi tiết đính kết tỉ mỉ. Bên cạnh những dáng áo dài quen thuộc, bộ sưu tập còn xuất hiện thêm áo choàng được lấy cảm hứng từ áo Nhật Bình Việt Nam, áo choàng thêu và các thiết kế dành cho chú rể, mang đến nhiều lựa chọn hơn cho các anh chị trong ngày trọng đại. Mỗi thiết kế đều được tạo nên với mong muốn đồng hành cùng các anh chị trong những khoảnh khắc đẹp nhất của ngày cưới để bắt đầu một hành trình mới. Hy vọng BST lần này sẽ là món quà tinh thần ý nghĩa dành cho anh chị. Anh chị có thể tùy chỉnh kiểu dáng theo ý thích, từ tay áo dài hay ngắn đến tay loe búp. Đừng ngần ngại liên hệ với chúng em hoặc ghé tiệm để thử và được tư vấn trực tiếp nhé!",,,ACTIVE,collection_page,2026-06-27 14:38:26,
Quý Chi,quy-chi,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/DSC00710.jpg,,,,ACTIVE,collection_page,2026-06-27 14:38:28,
Hạ Khuê,ha-khue,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/05/IMG_4441-scaled.jpeg,"Mùa hè mang theo những gam màu tươi sáng, ngát hương như thể mọi thứ đều được phủ lên một lớp ánh sáng mỏng, trong và dịu. Những trưa hè oi ả, khi nắng trải dài trên mặt đường hay những làn gió bất chợt thoảng qua, đủ làm tà váy khẽ lay, đều là những khoảnh khắc rất đẹp của mùa. Trong những ngày như vậy, một chiếc váy lụa dường như trở thành lựa chọn tự nhiên nhất. Nhẹ, thoáng và mềm, lụa không chỉ mang lại cảm giác dễ chịu khi chạm vào da, mà còn tạo nên những chuyển động rất khẽ theo từng bước chân, đủ tinh giản để giữ lại trọn vẹn sự bay bổng của chất liệu và cảm giác tự do khi mặc. Với BST Hạ Khuê, XÉO XỌ chọn bắt đầu mùa hạ như thế, đan xen giữa những gam màu trong trẻo của nắng, của gió và những lớp lụa mềm mại. Từng thiết kế mang theo sự mơ mộng rất nhẹ, để khiến mình trở nên tươi tắn hơn trong những ngày dài. Không chỉ là những thiết kế chỉ dành cho một dịp đặc biệt, mà là những chiếc váy có thể đồng hành cùng các chị trong nhiều khoảnh khắc thường ngày từ một buổi dạo phố, một cuộc hẹn nhẹ nhàng, đến những ngày chỉ muốn ra ngoài và tận hưởng mùa hè theo cách riêng của mình. Cùng ghé tiệm 2 miền chơi và ướm thử những thiết kế mới nhất cho mùa hè này chị nhé!",,,ACTIVE,collection_page,2026-06-27 14:38:29,
Cát Điền,cat-dien,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/03/DFO07252.jpg,"Những ngày xuân luôn mang theo những cuộc gặp gỡ, những tiếng cười nói và cả những khoảnh khắc ta luôn muốn xuất hiện thật chỉn chu giữa sắc xuân đang rộn ràng khắp nơi. Ai ai cũng mong muốn một năm mới bình an, hạnh phúc và mọi điều diễn ra thật thuận lợi, suôn sẻ. Từ tinh thần đó, bộ sưu tập Cát Điền như lời chào đầu năm mà XÉO XỌ muốn gửi đến các chị, mang đến sự nhẹ nhàng vừa đủ để cảm nhận rõ từng chuyển động của mùa xuân. Cát Điền mang theo ý nghĩa về sự an lành, đủ đầy và trọn vẹn. Đó là cảm giác của một khởi đầu êm đềm, của những điều tốt đẹp được vun đắp theo thời gian. Thông qua bộ sưu tập này, chúng em mong mỗi thiết kế khi đến tay các chị không chỉ là một tà áo để diện trong những ngày xuân, mà còn là một lời chúc bình an cho cả năm phía trước. Bộ sưu tập với chất liệu tơ tằm làm chủ đạo. Tơ tằm có độ rủ tự nhiên, mềm và thoáng, rất hợp với tiết trời xuân đang dần ấm lên. Khi chị mặc lên, vải ôm vừa đủ để tôn dáng vẫn giữ được nét trang nhã và mang lại cảm giác nhẹ tênh trong từng chuyển động. Chúng em khẽ đưa vào Cát Điền một chút hơi thở của Cần Thơ với sự dung dị và khoan thai của miền sông nước. Một vùng đất màu mỡ, nơi mọi thứ dường như luôn đầy sức sống. Từ sắc trời, sắc nước cho đến những khu vườn vào mùa, tất cả đều mang trong mình sự tươi tắn và tràn đầy năng lượng. Tinh thần ấy được chúng em đặt vào bộ sưu tập qua những gam màu sáng trong và rạng rỡ như một lời chúc cho một năm mới nhiều niềm vui, nhiều điều tốt đẹp được nở rộ. Cát Điền vì thế không chỉ là một lựa chọn để diện trong những ngày đầu năm, mà còn là cảm xúc của sự hân hoan đủ để khởi đầu năm mới với tâm thế tươi tắn và đầy hy vọng. Mời các chị ghé tiệm chơi và chọn cho mình một dáng áo thật hợp cho mùa xuân này nhé.",,,ACTIVE,collection_page,2026-06-27 14:38:30,
Sắc Kỳ Hương,sac-ky-huong,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/02/DSCF3362.jpg,"Khi dịp Tết đến, không khí mang theo những mùi hương đặc trưng của mùa xuân. Hương hoa khoe sắc, nắng nhẹ vương trên phố, cảm giác ấm áp của những ngày đoàn viên. Mỗi mùi hương mở ra một tầng ký ức, để Tết hiện diện trọn vẹn trong cảm xúc và không gian. Sắc Kỳ Hương được hình thành từ cảm giác ấy – như một làn hương mùa xuân như những đoá hoa nở muôn hoa khoe sắc. Sắc Kỳ Hương được cảm nhận qua nhiều tầng cảm xúc. Từ xa là tổng thể hài hòa và nhẹ nhàng. Khi đến gần hay khi người mặc chuyển động, những chi tiết dần hiện ra rõ nét hơn. Hoa trở thành ngôn ngữ chính để kể câu chuyện về sự nở rộ. Khi rực rỡ, khi chỉ thoáng qua, những họa tiết hoa xuất hiện như những tầng hương có lúc dẫn dắt, có lúc lắng lại, nhưng luôn hiện diện để tạo nên chiều sâu cảm xúc. Tinh thần đa tầng ấy gợi nhắc đến những khoảnh khắc rất quen của mùa Tết và những dịp đặc biệt. Là khi khoác lên mình một thiết kế mới để gặp gỡ, sum vầy. Là lúc bước vào một buổi tiệc, một sự kiện, nơi mỗi chuyển động đều mang theo sự tự tin. Là khoảnh khắc người phụ nữ bước ra khỏi nhà, mang theo mùi hương hoa và cảm giác sẵn sàng tỏa sắc. Sắc Kỳ Hương hiện diện trên từng lớp vải, từng form dáng, từng chuyển động. Trang phục trở thành điểm chạm giữa sắc xuân, hương hoa và vẻ đẹp nữ tính được nuôi dưỡng từ bên trong. Cùng ghé chúng em chơi, ướm thử những thiết kế mới nhất và cảm nhận trọn vẹn mùi hương mùa xuân cũng như chọn cho mình một khởi đầu thật dịu dàng, trọn vẹn chị nhé!",,,ACTIVE,collection_page,2026-06-27 14:38:31,
Xuân Diệm Khai Hoa,xuan-diem-khai-hoa,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/02/look-4-6.jpg,"Mùi hương không chỉ tồn tại trong khoảnh khắc mà mở ra theo từng lớp mà lan nhẹ trong không gian và ở lại bằng cảm giác rất riêng. Cũng giống như vẻ đẹp của một người phụ nữ không chỉ nằm ở dáng vẻ bên ngoài, mà ở cách cô ấy xuất hiện, lan tỏa và để lại dấu ấn. Từ tinh thần ấy, XÉO XỌ cùng Comfort tạo nên một bộ sưu tập Xuân Diệm Khai Hoa, nơi mỗi thiết kế không chỉ được nhìn, mà còn được cảm nhận giống như cách một mùi hương mở ra, lan tỏa và lưu lại trên từng chuyển động. Xuân Diệm Khai Hoa được lấy cảm hứng từ những cô gái sẵn sàng hiện diện trọn vẹn trong cuộc sống của mình. Không thu mình, không nép, không tém lại để vừa vặn với khuôn mẫu. Họ chọn hiện diện trọn vẹn, chọn tỏa hương khoe sắc như những đóa hoa đang độ nở rộ mang sự tự nhiên, tự tin và đầy sức sống. Bộ sưu tập được cảm nhận qua nhiều tầng cảm xúc, nơi vẻ đẹp mở ra theo từng chuyển động. Từ xa, tổng thể nhẹ nhàng và mềm mại nhưng khi đến gần, hoặc khi người mặc chuyển động, những tầng cảm xúc dần mở ra. Bốn thiết kế tương ứng với bốn mùi hương Comfort, cùng nằm trong một mạch cảm xúc xuyên suốt. Hoa trở thành ngôn ngữ chính, không phải để trang trí, mà để kể câu chuyện về sự nở rộ. Những hoạ tiết hoa xuất hiện khi rõ ràng, khi chỉ thoáng qua, như những nốt hương, có lúc dẫn dắt, có lúc lùi lại, nhưng luôn hiện diện để tạo nên tổng thể hài hòa. Tinh thần đa tầng ấy gợi nhắc đến những khoảnh khắc rất quen thuộc trong đời sống. Là mùi hương ngày Tết, khi người ta khoác lên mình bộ trang phục đẹp nhất để gặp gỡ, sum vầy. Là cảm giác bước vào một buổi tiệc, một sự kiện, nơi mỗi chuyển động đều mang theo sự tự tin và mong muốn được nhìn thấy. Là khoảnh khắc một người phụ nữ bước ra khỏi nhà, mang theo mùi hương quen thuộc và cảm giác sẵn sàng tỏa sáng. XÉO XỌ không tìm cách mô tả mùi hương bằng hình ảnh trực diện. Thay vào đó, Xuân Diệm Khai Hoa là sự chuyển hóa cảm giác khi hương lan nhẹ trên vải, khi những tầng lớp chồng lên nhau và để lại dư vị. Trang phục không chỉ để mặc, mà để đồng hành cùng các chị trong những khoảnh khắc xuất hiện trọn vẹn nhất. Bộ sưu tập cũng là cuộc gặp gỡ giữa XÉO XỌ và Comfort – nơi mùi hương có thể được cảm nhận qua những thiết kế, nơi sự tự tin được nở rộ tự nhiên, và nơi mỗi cô gái bước vào mùa mới, những dịp đặc biệt, với hương sắc mang dấu ấn không trùng lặp. Và đặc biệt XÉO XỌ xin gửi lời cảm ơn đến nhiếp ảnh gia Tuanfr đã đồng hành cùng chúng em trong bộ ảnh vô cùng đặc biệt lần này để bộ sưu tập được hoàn thiện qua từng góc nhìn, khung hình, cảm xúc của mùi hương và tinh thần của những đóa hoa nở rộ được ghi lại một cách trọn vẹn nhất.",,,ACTIVE,collection_page,2026-06-27 14:38:32,
Cảnh Giang,canh-giang,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/01/DSCF6325-copy-3.jpg,"Không gian sông nước khi xuân vừa chạm ngõ mang theo một nhịp chảy êm đềm, trong trẻo và khoan hòa. Mặt nước phẳng lặng, ánh sáng dịu nhẹ lan đều, mọi chuyển động dường như chậm lại vừa đủ để người ta nhận ra sự hiện diện của từng khoảnh khắc. Bộ sưu tập được hình thành từ cảm giác ấy. Áo dài trong Cảnh Giang không tìm đến sự phô bày, mà đặt trọng tâm vào trải nghiệm khi mặc, nhẹ trên cơ thể, mềm trong chuyển động và đủ tĩnh để người mặc cảm nhận trọn vẹn từng khoảnh khắc. Thiết kế hai lớp, bốn tà mở ra những lớp áo uyển chuyển, để mỗi bước đi tạo nên nhịp chuyển động tự nhiên, như mặt nước khẽ lay khi có gió thoảng qua. Chất liệu lụa và tơ tằm được lựa chọn để giữ trọn sự mềm mại và thoáng nhẹ. Khi chạm vào ánh sáng, bề mặt vải phản chiếu vừa đủ, tạo nên chiều sâu tinh tế mà không làm mất đi vẻ nền nã vốn có. Từng đường nét được xử lý tiết chế, giữ cho tổng thể luôn cân bằng và thanh nhã. Bảng màu của Cảnh Giang gợi nhắc đến sắc xuân dịu dàng của những ngày đầu năm. Những gam màu trong, nhẹ và hài hòa, như sắc nước, sắc mây và ánh sáng sớm còn vương trên mặt sông. Màu sắc hiện diện một cách chừng mực, để tổng thể giữ được cảm giác mát lành và yên tĩnh, như một khoảng nghỉ giữa nhịp sống đang trôi. Có lẽ bộ sưu tập khép lại như mặt nước yên trong một buổi sớm đầu năm. Mời chị ghé XÉO XỌ, cùng chậm lại một nhịp và để Cảnh Giang thì thầm câu chuyện của riêng mình trong dịp đầu xuân này nhé!",,,ACTIVE,collection_page,2026-06-27 14:38:33,
Kỳ Sa,ky-sa,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2025/12/X0781.jpg,"Kỳ Sa là sự hiện diện của ánh sáng dịu dàng và sắc màu rực rỡ. Kim sa lấp lánh trên nền lụa mềm, đủ để tạo nên điểm nhấn tinh tế cho những khoảnh khắc đáng nhớ. Ánh kim được xử lý vừa phải, bắt sáng theo từng chuyển động, mang đến cảm giác nhẹ nhàng mà vẫn cuốn hút. Muôn hoa hiện lên qua những họa tiết và sắc màu tươi sáng, gợi không khí lễ hội rộn ràng nhưng vẫn giữ được sự hài hòa. Những gam đỏ, vàng và các tông màu xuân được sắp đặt khéo léo, để mỗi thiết kế đều mang theo vẻ rạng rỡ rất riêng. Kỳ Sa mong được đồng hành cùng các chị trong những khoảnh khắc đẹp của năm – từ những ngày xuân hân hoan, những buổi gặp gỡ thân tình, đến các dịp lễ hội và sự kiện đáng nhớ. Mỗi tà áo là một khoảng sáng nhỏ, giúp người mặc cảm nhận trọn vẹn niềm vui, sự tự tin và nét duyên dáng rất riêng của mình. Hiện các thiết kế đã có mặt tại tiện 2 miền, cùng ghé chơi và ướm thử những thiết kế mới nhất chị nhé!",,,ACTIVE,collection_page,2026-06-27 14:38:34,
ĐINH,dinh,,https://xeoxo.com/vn/wp-content/uploads/sites/2/2026/06/6000021-scaled.jpg,,,,ACTIVE,collection_page,2026-06-27 14:38:35,
